scan_stamp,callback_now,tf_stamp,dt_scan_tf,dt_scan_now,pending_age,d,sonar_tx,sonar_ty,sonar_tz,sonar_qx,sonar_qy,sonar_qz,sonar_qw,wx,wy,wz,j_xm540_joint_z,j_xm540_joint,j_joint_boat_x,j_joint_boat_y,js_stamp
1777068393.4722254,1777068393.5054867,1777068393.4722254,0.0,0.03326129913330078,0.02712303500447888,2.068307876586914,-0.2664006926020938,9.319028367126577,-0.3244999787687853,-0.7071042711599161,4.214374236501753e-06,0.7071092911878448,2.338026158209671e-06,-0.26641537635504664,9.319022878821974,-2.392807855296295,9.266484084946569e-06,-8.119019184960052e-06,-0.266400009393692,9.32702922821045,1777068393.4722254
1777068393.5234225,1777068393.5560362,1777068393.5234225,0.0,0.03261375427246094,0.02605159700033255,2.0674643516540527,-0.26640069262801075,9.352361191833609,-0.32449997876878517,-0.707104271093033,4.214374236280606e-06,0.7071092912547278,2.338026158608297e-06,-0.26641537078354993,9.352355705767321,-2.391964330363455,9.266484084946569e-06,-8.119208359858021e-06,-0.266400009393692,9.36036205291748,1777068393.5234225
1777068393.5810637,1777068393.605395,1777068393.5810637,0.0,0.024331331253051758,0.011601979997067247,2.0655815601348877,-0.2664006926529309,9.38569401654064,-0.32449997876878506,-0.7071042710287214,4.2143742360679625e-06,0.7071092913190388,2.338026158991593e-06,-0.266415357817145,9.38568853547039,-2.390081538844341,9.266484084946569e-06,-8.119390258798376e-06,-0.266400009393692,9.393694877624512,1777068393.5810637
1777068393.6423311,1777068393.6566365,1777068393.6423311,0.0,0.014305353164672852,0.007780236999678891,2.064257860183716,-0.26640069269218014,9.435693253601187,-0.3244999787687849,-0.7071042709274314,4.214374235733052e-06,0.707109291420328,2.3380261595952816e-06,-0.266415349049812,9.43568777604341,-2.388757838893203,9.266484084946569e-06,-8.119676749629434e-06,-0.266400009393692,9.443694114685059,1777068393.6423311
1777068393.7009406,1777068393.7054393,1777068393.7009406,0.0,0.004498720169067383,0.0007173150006565265,2.062396764755249,-0.266400692730308,9.485692490661734,-0.3244999787687847,-0.7071042708290353,4.214374235407708e-06,0.7071092915187235,2.338026160181723e-06,-0.2664153364480245,9.485687018042425,-2.3868967434647854,9.266484084946569e-06,-8.119955055008177e-06,-0.266400009393692,9.493693351745605,1777068393.7009406
1777068393.7562037,1777068393.8054545,1777068393.7562037,0.0,0.04925084114074707,0.044661671003268566,2.061890125274658,-0.2664006927681866,9.535691727722282,-0.32449997876878456,-0.7071042707312822,4.214374235084492e-06,0.707109291616476,2.3380261607643315e-06,-0.26641533345867574,9.53568625644736,-2.3863901039842053,9.266484084946569e-06,-8.120231541397516e-06,-0.266400009393692,9.543692588806152,1777068393.7562037
1777068393.8159447,1777068393.8554735,1777068393.8159447,0.0,0.039528846740722656,0.0338092130041332,2.061129093170166,-0.2664006928064391,9.58569096478283,-0.3244999787687844,-0.7071042706325644,4.214374234758086e-06,0.7071092917151929,2.33802616135269e-06,-0.2664153286686287,9.585685495527327,-2.3856290718797304,9.266484084946569e-06,-8.12051075627096e-06,-0.266400009393692,9.5936918258667,1777068393.8159447
1777068393.8705192,1777068393.9429324,1777068393.8705192,0.0,0.07241320610046387,0.05676461499388097,2.059839963912964,-0.26640069284531454,9.635690201843376,-0.3244999787687842,-0.7071042705322389,4.214374234426364e-06,0.7071092918155177,2.3380261619506304e-06,-0.2664153201380376,9.635684736008615,-2.3843399426225607,9.266484084946569e-06,-8.120794518617913e-06,-0.266400009393692,9.643691062927246,1777068393.8705192
1777068393.9474592,1777068393.955423,1777068393.9474592,0.0,0.007963895797729492,0.0038837680040160194,2.0561165809631348,-0.26640069288331775,9.685689438903923,-0.32449997876878406,-0.7071042704341644,4.2143742341020854e-06,0.7071092919135916,2.338026162535155e-06,-0.2664152943059895,9.685683982949254,-2.3806165596728346,9.266484084946569e-06,-8.121071914501954e-06,-0.266400009393692,9.693690299987793,1777068393.9474592
1777068393.999727,1777068394.0055087,1777068393.999727,0.0,0.005781650543212891,0.0017337049939669669,2.055211305618286,-0.2664006929210719,9.73568867596447,-0.32449997876878384,-0.7071042703367327,4.2143742337799325e-06,0.7071092920110226,2.3380261631158483e-06,-0.2664152884813397,9.735683222411975,-2.3797112843280077,9.266484084946569e-06,-8.121347491396591e-06,-0.266400009393692,9.74368953704834,1777068393.999727
1777068394.050174,1777068394.0553036,1777068394.050174,0.0,0.005129575729370117,0.0006935829951544292,2.0534234046936035,-0.2664006929590751,9.785687913025019,-0.32449997876878367,-0.7071042702386582,4.214374233455653e-06,0.7071092921090965,2.338026163700374e-06,-0.26641527639176016,9.785682464216768,-2.377923383403372,9.266484084946569e-06,-8.121624887280632e-06,-0.266400009393692,9.793688774108887,1777068394.050174
1777068394.1030009,1777068394.1556017,1777068394.1030009,0.0,0.052600860595703125,0.048562342999503016,2.051213502883911,-0.2664006929968291,9.835687150085565,-0.3244999787687835,-0.7071042701412266,4.214374233133499e-06,0.7071092922065272,2.338026164281065e-06,-0.2664152613000374,9.835681707141347,-2.3757134815937393,9.266484084946569e-06,-8.121900464175269e-06,-0.266400009393692,9.843688011169434,1777068394.1030009
1777068394.1565406,1777068394.2055044,1777068394.1565406,0.0,0.04896378517150879,0.043876344003365375,2.0470926761627197,-0.26640069303470776,9.885686387146112,-0.3244999787687834,-0.7071042700434735,4.214374232810282e-06,0.7071092923042797,2.338026164863674e-06,-0.2664152326366233,9.885680955136612,-2.371592654872662,9.266484084946569e-06,-8.122176950564608e-06,-0.266400009393692,9.89368724822998,1777068394.1565406
1777068394.2226758,1777068394.2554696,1777068394.2226758,0.0,0.03279376029968262,0.02880502700281795,2.0439324378967285,-0.26640069307158953,9.93568562420666,-0.32449997876878317,-0.707104269948293,4.214374232495573e-06,0.7071092923994595,2.33802616543095e-06,-0.2664152107779659,9.935680200582931,-2.368432416606758,9.266484084946569e-06,-8.122446160996333e-06,-0.266400009393692,9.943686485290527,1777068394.2226758
